datetime,h,T,t_final,cav,path_following,delays,K,num_agents,trajectory_type,mean_mpc_time,max_mpc_time,consensus_time,du11
2026-03-14_18-26-57,0.05,1200,60,False,False,"[1.1, 4.8, 0.1, 6.5]",4,4,circular,0.005560501844068116,0.012856483459472656,7.9,
2026-03-14_18-27-24,0.05,1200,60,False,False,"[1.1, 4.8, 0.1, 6.5]",5,4,circular,0.005792401576864308,0.014613151550292969,7.25,
2026-03-14_18-27-47,0.05,1200,60,False,False,"[1.1, 4.8, 0.1, 6.5]",10,4,circular,0.006826194895415747,0.01275324821472168,5.95,
2026-03-14_18-28-10,0.05,1200,60,False,False,"[1.1, 4.8, 0.1, 6.5]",15,4,circular,0.007885198872368614,0.019165515899658203,5.550000000000001,
2026-03-14_18-28-34,0.05,1200,60,False,False,"[1.1, 4.8, 0.1, 6.5]",20,4,circular,0.009849445285084092,0.03207087516784668,5.3500000000000005,
2026-03-14_18-28-57,0.05,1200,60,False,False,"[1.1, 4.8, 0.1, 6.5]",25,4,circular,0.00996760640825544,0.02041316032409668,5.25,
2026-03-14_18-32-58,0.05,1200,60,False,False,"[4.5, 6, 0, 3.5, 2.5, 5, 3.5, 6, 2, 4, 5.5, 1, 6, 3.5, 2, 5.5, 3.8, 5.7, 3.3, 0, 4.2, 0.5, 1.2, 3.2, 0, 5.7, 2.5, 6.2, 1.8, 4.3, 5.8, 1.2, 6.5, 3.4, 2.6, 5.6, 0.9, 0, 3.4, 0]",1,3,mixed,0.0060386298994853345,0.016197681427001953,47.300000000000004,
2026-03-14_18-33-28,0.05,1200,60,False,False,"[4.5, 6, 0, 3.5, 2.5, 5, 3.5, 6, 2, 4, 5.5, 1, 6, 3.5, 2, 5.5, 3.8, 5.7, 3.3, 0, 4.2, 0.5, 1.2, 3.2, 0, 5.7, 2.5, 6.2, 1.8, 4.3, 5.8, 1.2, 6.5, 3.4, 2.6, 5.6, 0.9, 0, 3.4, 0]",2,3,mixed,0.00573339547429766,0.009519338607788086,14.0,
2026-03-14_18-33-44,0.05,1200,60,False,False,"[4.5, 6, 0, 3.5, 2.5, 5, 3.5, 6, 2, 4, 5.5, 1, 6, 3.5, 2, 5.5, 3.8, 5.7, 3.3, 0, 4.2, 0.5, 1.2, 3.2, 0, 5.7, 2.5, 6.2, 1.8, 4.3, 5.8, 1.2, 6.5, 3.4, 2.6, 5.6, 0.9, 0, 3.4, 0]",3,3,mixed,0.005926931472051711,0.010019540786743164,7.0,
2026-03-14_18-33-56,0.05,1200,60,False,False,"[4.5, 6, 0, 3.5, 2.5, 5, 3.5, 6, 2, 4, 5.5, 1, 6, 3.5, 2, 5.5, 3.8, 5.7, 3.3, 0, 4.2, 0.5, 1.2, 3.2, 0, 5.7, 2.5, 6.2, 1.8, 4.3, 5.8, 1.2, 6.5, 3.4, 2.6, 5.6, 0.9, 0, 3.4, 0]",4,3,mixed,0.006345375054547576,0.011400699615478516,4.9,
2026-03-14_18-34-07,0.05,1200,60,False,False,"[4.5, 6, 0, 3.5, 2.5, 5, 3.5, 6, 2, 4, 5.5, 1, 6, 3.5, 2, 5.5, 3.8, 5.7, 3.3, 0, 4.2, 0.5, 1.2, 3.2, 0, 5.7, 2.5, 6.2, 1.8, 4.3, 5.8, 1.2, 6.5, 3.4, 2.6, 5.6, 0.9, 0, 3.4, 0]",5,3,mixed,0.006918800255608937,0.011482000350952148,4.2,
2026-03-14_18-34-23,0.05,1200,60,False,False,"[4.5, 6, 0, 3.5, 2.5, 5, 3.5, 6, 2, 4, 5.5, 1, 6, 3.5, 2, 5.5, 3.8, 5.7, 3.3, 0, 4.2, 0.5, 1.2, 3.2, 0, 5.7, 2.5, 6.2, 1.8, 4.3, 5.8, 1.2, 6.5, 3.4, 2.6, 5.6, 0.9, 0, 3.4, 0]",10,3,mixed,0.00839145851135254,0.015900850296020508,6.25,
2026-03-14_21-23-33,0.05,600,30,False,False,"[4.5, 6, 0, 3.5, 2.5, 5, 3.5, 6, 2, 4, 5.5, 1, 6, 3.5, 2, 5.5, 3.8, 5.7, 3.3, 0, 4.2, 0.5, 1.2, 3.2, 0, 5.7, 2.5, 6.2, 1.8, 4.3, 5.8, 1.2, 6.5, 3.4, 2.6, 5.6, 0.9, 0, 3.4, 0]",1,3,mixed,0.0052508720519050716,0.012691736221313477,26.25,20
2026-03-14_21-24-23,0.05,600,30,False,False,"[4.5, 6, 0, 3.5, 2.5, 5, 3.5, 6, 2, 4, 5.5, 1, 6, 3.5, 2, 5.5, 3.8, 5.7, 3.3, 0, 4.2, 0.5, 1.2, 3.2, 0, 5.7, 2.5, 6.2, 1.8, 4.3, 5.8, 1.2, 6.5, 3.4, 2.6, 5.6, 0.9, 0, 3.4, 0]",1,3,mixed,0.005045730197240436,0.008608579635620117,26.25,5
2026-03-14_21-25-13,0.05,600,30,False,False,"[4.5, 6, 0, 3.5, 2.5, 5, 3.5, 6, 2, 4, 5.5, 1, 6, 3.5, 2, 5.5, 3.8, 5.7, 3.3, 0, 4.2, 0.5, 1.2, 3.2, 0, 5.7, 2.5, 6.2, 1.8, 4.3, 5.8, 1.2, 6.5, 3.4, 2.6, 5.6, 0.9, 0, 3.4, 0]",1,3,mixed,0.005056301601349361,0.015814781188964844,26.25,3
2026-03-14_21-26-03,0.05,600,30,False,False,"[4.5, 6, 0, 3.5, 2.5, 5, 3.5, 6, 2, 4, 5.5, 1, 6, 3.5, 2, 5.5, 3.8, 5.7, 3.3, 0, 4.2, 0.5, 1.2, 3.2, 0, 5.7, 2.5, 6.2, 1.8, 4.3, 5.8, 1.2, 6.5, 3.4, 2.6, 5.6, 0.9, 0, 3.4, 0]",1,3,mixed,0.005051473587278336,0.0156857967376709,26.25,1
2026-03-14_21-26-31,0.05,600,30,False,False,"[4.5, 6, 0, 3.5, 2.5, 5, 3.5, 6, 2, 4, 5.5, 1, 6, 3.5, 2, 5.5, 3.8, 5.7, 3.3, 0, 4.2, 0.5, 1.2, 3.2, 0, 5.7, 2.5, 6.2, 1.8, 4.3, 5.8, 1.2, 6.5, 3.4, 2.6, 5.6, 0.9, 0, 3.4, 0]",2,3,mixed,0.00521863131296067,0.009932518005371094,14.0,20
2026-03-14_21-26-59,0.05,600,30,False,False,"[4.5, 6, 0, 3.5, 2.5, 5, 3.5, 6, 2, 4, 5.5, 1, 6, 3.5, 2, 5.5, 3.8, 5.7, 3.3, 0, 4.2, 0.5, 1.2, 3.2, 0, 5.7, 2.5, 6.2, 1.8, 4.3, 5.8, 1.2, 6.5, 3.4, 2.6, 5.6, 0.9, 0, 3.4, 0]",2,3,mixed,0.005297410488128662,0.014065980911254883,14.0,5
2026-03-14_21-27-28,0.05,600,30,False,False,"[4.5, 6, 0, 3.5, 2.5, 5, 3.5, 6, 2, 4, 5.5, 1, 6, 3.5, 2, 5.5, 3.8, 5.7, 3.3, 0, 4.2, 0.5, 1.2, 3.2, 0, 5.7, 2.5, 6.2, 1.8, 4.3, 5.8, 1.2, 6.5, 3.4, 2.6, 5.6, 0.9, 0, 3.4, 0]",2,3,mixed,0.005300065733137585,0.011493444442749023,14.0,3
2026-03-14_21-27-55,0.05,600,30,False,False,"[4.5, 6, 0, 3.5, 2.5, 5, 3.5, 6, 2, 4, 5.5, 1, 6, 3.5, 2, 5.5, 3.8, 5.7, 3.3, 0, 4.2, 0.5, 1.2, 3.2, 0, 5.7, 2.5, 6.2, 1.8, 4.3, 5.8, 1.2, 6.5, 3.4, 2.6, 5.6, 0.9, 0, 3.4, 0]",2,3,mixed,0.00528143360501244,0.016627788543701172,14.0,1
2026-03-14_21-28-11,0.05,600,30,False,False,"[4.5, 6, 0, 3.5, 2.5, 5, 3.5, 6, 2, 4, 5.5, 1, 6, 3.5, 2, 5.5, 3.8, 5.7, 3.3, 0, 4.2, 0.5, 1.2, 3.2, 0, 5.7, 2.5, 6.2, 1.8, 4.3, 5.8, 1.2, 6.5, 3.4, 2.6, 5.6, 0.9, 0, 3.4, 0]",3,3,mixed,0.0055721913065229145,0.014909505844116211,7.0,20
